,count,mean,std,min,q25,median,q75,max,skewness,kurtosis,cv,range,iqr,mean_pass,mean_fail,std_pass,std_fail
F001,1567.0,0.03294674945313218,0.8148923417263798,-2.9715679210774257,-0.49875297899462445,0.0,0.501247021005373,3.501247021005373,0.4915088126514956,1.3744547985913274,24.733618800873117,6.472814942082799,0.9999999999999974,0.03827819385974132,-0.042052319459071515,0.8019965070093805,0.9799887793192354
F002,1567.0,-0.04194455667509947,0.9223433870438837,-3.5441406024166024,-0.5441406024166027,0.0,0.4558593975833974,3.4558593975833976,-0.06896104894586662,1.9499997806204448,21.98958482661581,7.0,1.0,-0.040391754981751175,-0.06378829588056646,0.9287279405278205,0.8310897558755284
F003,1567.0,-0.010276294127573828,0.7910593843820793,-3.5409809489585498,-0.5409809489585499,0.0,0.4590190510414501,3.0855608182410452,-0.22828461037099373,1.875360821642781,76.97905241759216,6.626541767199595,1.0,-0.009806712343315845,-0.01688204557343394,0.7873321946721867,0.8457582834965668
F004,1567.0,0.21067734215676132,0.8395052551345987,-2.531227440638434,-0.40252374831334764,0.0,0.5974762516866526,3.5974762516866527,1.427611730679747,2.7545237213411173,3.984791371185767,6.128703692325087,1.0000000000000002,0.216089408666567,0.13454413731209064,0.8501372519185723,0.6710848483265475
F005,1567.0,0.03736330490596164,0.7908436496808374,-1.2422761048103248,-0.5848650762612436,0.0,0.4151349237387563,3.4151349237387563,1.0666746613076976,1.9606583728391653,21.166319511887856,4.657411028549081,1.0,0.04188133254885007,-0.02619318010890158,0.7994583639002627,0.6577819628818867
F007,1567.0,-0.06465243084782618,0.9239724878077623,-2.8726784946714736,-0.5442957297641824,0.0,0.4557042702358176,3.4557042702358176,-0.16703386535685957,1.6537390004458281,14.291380473663006,6.328382764907291,1.0,-0.0690246975354794,-0.0031464100397812136,0.9357008117104986,0.7404967749599193
F013,1567.0,0.09783361040021545,0.6821300184871479,-3.362232213018661,-0.36223221301866115,0.0,0.6377677869813352,3.637767786981339,0.22142391756756336,1.2388835622079721,6.972348415741114,7.0,0.9999999999999963,0.09840812886687704,0.08975168235477395,0.6831852070801516,0.6702978140738813
F015,1567.0,0.008696931598012526,0.7427289407284577,-1.7875304031154062,-0.4989832400749615,0.0,0.5010167599250388,2.8104041786839287,0.16824744101375996,0.001727601445409288,85.40126276407523,4.5979345817993345,1.0000000000000002,0.02237417828156384,-0.18370510588309885,0.7419614199958902,0.7301655559762358
F016,1567.0,0.03074324449411922,0.6862399717827385,-3.4695156036161063,-0.46951560361610656,0.0,0.5304843963838934,3.5304843963838937,0.31106337680319845,1.1760471369923273,22.32165092047086,7.0,1.0,0.02914535989068749,0.05322117886739445,0.6932426793821296,0.5812345646164253
F017,1567.0,0.0005304839719148266,0.8305136862012892,-3.5053035029860062,-0.5053035029860062,0.0,0.4946964970139938,3.4946964970139938,-0.08010424248029223,1.3264384497405421,1565.5773380633966,7.0,1.0,-0.008694543853414968,0.13030178886092902,0.8183423175171456,0.9813752067302741
F019,1567.0,0.0986417045986648,0.6875582484505643,-3.349997439573939,-0.3499974395739428,0.0,0.6500025604260609,3.650002560426061,0.08500771380284056,1.0468010495870033,6.970259194536474,7.0,1.0000000000000036,0.10040402753093537,0.07385056565720476,0.6896721624488559,0.6598008589575197
F020,1567.0,-0.03639941766792152,0.8941476650375279,-3.4546498277841393,-0.4546498277841392,0.0,0.5453501722158608,3.5453501722158607,-0.7278981002378725,2.3269408931923765,24.56488928395597,7.0,1.0,-0.04367902325481848,0.06600503400160018,0.9058337960457117,0.7052298195839808
F022,1567.0,-0.20110883423905246,0.9039708304658175,-2.814878892733564,-0.7117214532871972,0.0,0.28827854671280273,3.2882785467128026,0.3372687783062509,2.123208391567589,4.494933471628589,6.103157439446367,0.9999999999999999,-0.22274997812240574,0.10332379558158104,0.8843124656360573,1.106281132591601
F023,1567.0,0.16926569016776705,0.9439555427119094,-3.3255924170616113,-0.32559241706161135,0.0,0.6744075829383887,3.6744075829383887,-0.11399598431277427,2.509926569611488,5.576768344315583,7.0,1.0,0.18153343289287413,-0.0033084214363835037,0.9252716114125545,1.1675697252549075
F024,1567.0,0.003361671379724798,1.245347982250919,-3.5369806262946266,-0.5369806262946265,0.0,0.4630193737053735,3.4630193737053734,0.1275853121690981,1.558598815225798,370.45500324377747,7.0,1.0,-0.0031237469372668546,0.09459404635817457,1.2371842600592122,1.358166539460856
F025,1567.0,-0.07612692907328006,0.989240728654469,-3.490600681997027,-0.4906006819970272,0.0,0.5093993180029728,3.509399318002973,-0.019978361194225195,2.5935279472312445,12.994622805409996,7.0,1.0,-0.07161052448699466,-0.13966058205150625,0.9999049840845824,0.8262173595675771
F027,1567.0,-0.29827379463587417,0.8007396747896635,-3.8252326783867616,-0.8252326783867617,0.0,0.1747673216132382,0.687693898655636,-2.4248035143583553,7.2658283005477,2.684579366968874,4.512926577042398,1.0,-0.29038587820496004,-0.40923554212075347,0.7747860469374364,1.1020443507123465
F028,1567.0,-0.30326528330257846,0.6022492761797995,-3.51621490803485,-0.9684898354307843,0.0,0.03151016456921596,0.19085188770571168,-2.103576731766315,4.990507649490213,1.9858826886456646,3.7070667957405616,1.0000000000000002,-0.29805644755204036,-0.3765395785240896,0.5839357457298104,0.8177789204453025
F029,1567.0,0.07100470831989453,0.7089050897163405,-1.9977269702151232,-0.36291685011314145,0.0,0.63708314988686,1.7906560045870175,-0.06348088293462452,-0.27840906320835135,9.983916651168485,3.7883829748021407,1.0000000000000013,0.09135162997292674,-0.2152216991645884,0.7075126525626767,0.6684451978901426
F030,1567.0,-0.020985927213936786,0.7215690055485013,-3.019410622904535,-0.5097935415563789,0.0,0.49020645844362104,1.9998235397917765,-0.30267266533436116,0.3942237740385788,34.383470320764424,5.0192341626963115,1.0,-0.02464568949203004,0.030497074832701955,0.7244898890681766,0.6803656354566203
F032,1567.0,0.6399604297952761,1.6521042200709044,-3.4054453980467603,-0.4054453980467604,0.0,0.5945546019532396,3.5945546019532397,1.0167364638105705,-0.4035768779848996,2.5815724584672095,7.0,1.0,0.654451310282216,0.43611275525303306,1.6671309983101363,1.4152876863862267
F033,1567.0,0.04670498548689502,0.8460744079989733,-1.5487256967913818,-0.5138165480497803,0.0,0.4861834519502253,3.4861834519502253,1.095277933203589,3.0108810612532215,18.115291101380567,5.034909148741607,1.0000000000000056,0.03680115234537213,0.18602525362197214,0.8444938433592489,0.8600741933602889
F034,1567.0,0.163074541415448,0.9065520503375957,-2.423764021603651,-0.39468217698379565,0.0,0.6053178230162044,3.6053178230162044,1.2840569204181558,2.737051305725557,5.559126780080947,6.0290818446198555,1.0,0.14094869117500555,0.4743256847016717,0.9010458262681099,0.9307628069160926
